Date,Open,High,Low,Close,Adj Close,Volume,ma1,ma2,ma3,ma5,ma9,ma10,ma20,ma1x2,ma1x3,ma1x5,ma1x9,ma1x10,ma1x20,ma2x3,ma2x5,ma2x9,ma2x10,ma2x20,ma3x5,ma3x9,ma3x10,ma3x20,ma5x9,ma5x10,ma5x20,ma9x10,ma9x20,ma10x20,updown,updowns_percents
1999-01-22,1.75,1.953125,1.5520833730697632,1.640625,1.5093088150024414,67867200.0,1.640625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1999-01-25,1.7708333730697632,1.8333333730697632,1.640625,1.8125,1.6674267053604126,12762000.0,1.8125,1.7265625,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.10476190476190483
1999-01-26,1.8333333730697632,1.8697916269302368,1.6458333730697632,1.671875,1.5380574464797974,8580000.0,1.671875,1.7421875,1.7083333333333333,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.07758620689655171
1999-01-27,1.6770833730697632,1.71875,1.5833333730697632,1.6666666269302368,1.5332655906677246,6109200.0,1.6666666269302368,1.6692708134651184,1.7170138756434123,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.0031152885650920226
1999-01-28,1.6666666269302368,1.6770833730697632,1.6510416269302368,1.6614583730697632,1.5284745693206787,5688000.0,1.6614583730697632,1.6640625,1.6666666666666667,1.690625,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.0031249523907888044
1999-01-29,1.6614583730697632,1.6666666269302368,1.5833333730697632,1.5833333730697632,1.4566025733947754,6100800.0,1.5833333730697632,1.6223958730697632,1.6371527910232544,1.6791666746139526,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.04702194244906288
1999-02-01,1.5833333730697632,1.625,1.5833333730697632,1.6145833730697632,1.4853514432907104,3867600.0,1.6145833730697632,1.5989583730697632,1.6197917064030964,1.6395833492279053,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01973684160993372
1999-02-02,1.5833333730697632,1.625,1.4427083730697632,1.4895833730697632,1.3703562021255493,6602400.0,1.4895833730697632,1.5520833730697632,1.56250003973643,1.603125023841858,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-0.0774193529333459
1999-02-03,1.46875,1.5416666269302368,1.4583333730697632,1.5208333730697632,1.399105429649353,1878000.0,1.5208333730697632,1.5052083730697632,1.5416667064030964,1.5739583730697633,1.6290509435865614,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.020979020419380268
1999-02-04,1.5416666269302368,1.6458333730697632,1.5208333730697632,1.6041666269302368,1.4757682085037231,4548000.0,1.6041666269302368,1.5625,1.5381944576899211,1.5625000238418578,1.6250000132454767,1.626562511920929,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.054794466860145
